dimension_index,feature_group,candidate_slot,feature_name,source_field,encoding_rule,padding_rule,korean_description,why_used,value_meaning
0,page,,viewport_width,page_state.viewport_width,clamp(value / 4096),,브라우저 화면의 가로 크기,현재 페이지의 전체적인 상태와 규모를 모델이 구분하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
1,page,,viewport_height,page_state.viewport_height,clamp(value / 4096),,브라우저 화면의 세로 크기,현재 페이지의 전체적인 상태와 규모를 모델이 구분하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
2,page,,page_text_length,page_state.page_text_length,clamp(value / 20000),,페이지에 존재하는 전체 텍스트 길이,현재 페이지의 전체적인 상태와 규모를 모델이 구분하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
3,page,,dom_node_count,page_state.dom_node_count,clamp(value / 5000),,페이지 DOM 노드 개수,현재 페이지의 전체적인 상태와 규모를 모델이 구분하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
4,page,,elapsed_time,page_state.elapsed_time,clamp(value / 300),,관측 또는 실행 후 경과 시간,현재 페이지의 전체적인 상태와 규모를 모델이 구분하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
5,page,,has_url,page_state.url,1 if non-empty else 0,,현재 페이지 URL의 존재 여부,현재 페이지의 전체적인 상태와 규모를 모델이 구분하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
6,page,,is_mobile,page_state.viewport_type,1 if mobile else 0,,모바일 화면 모드 여부,현재 페이지의 전체적인 상태와 규모를 모델이 구분하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
7,page,,cart_count_detected,page_state.cart_count_detected,boolean,,장바구니 수량을 화면에서 식별했는지 여부,현재 페이지의 전체적인 상태와 규모를 모델이 구분하기 위해 사용,"1이면 해당 조건이 참, 0이면 거짓"
8,page,,cart_count,page_state.cart_count,clamp(value / 100),,식별된 장바구니 상품 수,현재 페이지의 전체적인 상태와 규모를 모델이 구분하기 위해 사용,원본 수치를 정해진 최대 기준으로 나누고 0~1 범위로 제한한 값
9,candidate,0,role_button,candidate.role,1 if role == button else 0,0 when candidate slot is absent,후보 요소 0번의 역할이 'button'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 button 역할, 0이면 다른 역할"
10,candidate,0,role_link,candidate.role,1 if role == link else 0,0 when candidate slot is absent,후보 요소 0번의 역할이 'link'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 link 역할, 0이면 다른 역할"
11,candidate,0,role_textbox,candidate.role,1 if role == textbox else 0,0 when candidate slot is absent,후보 요소 0번의 역할이 'textbox'인지 표시,에이전트가 클릭·입력할 수 있는 화면 요소의 성격과 위치를 판단하기 위해 사용,"1이면 textbox 역할, 0이면 다른 역할"
