site_id,known_bug_id,known_bug_type,known_severity,selector,action_hints,detected,detection_count,detected_types,max_confidence,mapping_result,mapping_evidence,detection_id
site001,site001-bug01,button-no-response,High,"[data-bug-id=""site001-bug01""]",click;inspect_cart,True,1,button-no-response,0.95,TP,type-match+target_keywords-match+section_keywords-match+anomaly_evidence_keywords-match,
site001,site001-bug02,duplicated-rendering,Medium,".recommended-books, .book-card",inspect_dom,True,1,duplicated-rendering,0.8,TP,site001-duplicated-rendering,
site001,site001-bug03,layout-overlap,Medium,mobile layout,change_viewport_mobile;inspect_layout,True,1,layout-overlap,0.82,TP,type-match+data-bug-id-match+target_keywords-match+anomaly_evidence_keywords-match+layout-check-match+action-hint-match+bbox-fallback,
site002,,,,,,True,1,duplicated-rendering,0.9,FP_REVIEW,"{""duplicated_titles"": {""site002-bug02 site002-bug02"": 5, ""다음 단계 다음 단계"": 2, ""호텔 호텔"": 2, ""렌터카 렌터카"": 2}, ""visible_duplicate_candidates"": {""호텔 호텔"": 1}, ""book_context"": true, ""axtree_or_text_only"": false}",site002-detection-0001
site002,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""렌터카 렌터카  "", ""clicked_name"": ""렌터카"", ""clicked_bid"": ""22"", ""clicked_role"": ""link"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9221/#"", ""after_url"": ""http://localhost:9221/#"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""22"", ""data_bug_id"": """", ""name"": ""렌터카"", ""text"": ""렌터카"", ""role"": ""link"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site002-detection-0002
site002,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""호텔 호텔  "", ""clicked_name"": ""호텔"", ""clicked_bid"": ""20"", ""clicked_role"": ""link"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9221/#"", ""after_url"": ""http://localhost:9221/#"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""20"", ""data_bug_id"": """", ""name"": ""호텔"", ""text"": ""호텔"", ""role"": ""link"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site002-detection-0003
site002,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""항공권 항공권  "", ""clicked_name"": ""항공권"", ""clicked_bid"": ""18"", ""clicked_role"": ""link"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9221/#"", ""after_url"": ""http://localhost:9221/#"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""18"", ""data_bug_id"": """", ""name"": ""항공권"", ""text"": ""항공권"", ""role"": ""link"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site002-detection-0004
site003,site003-bug01,button-no-response,High,"[data-bug-id=""site003-bug01""]",click,True,1,button-no-response,0.9,TP,type-match+catalog-bug-id-match+target_keywords-match+anomaly_evidence_keywords-match,
site003,site003-bug02,empty-state-rendering,Medium,"[data-bug-id=""site003-bug02""]",inspect_dom,True,1,button-no-response,0.9,TP,catalog-bug-id-match+negative_keywords-match+anomaly_evidence_keywords-match,
site003,site003-bug03,layout-overflow,Medium,"[data-bug-id=""site003-bug03""]",inspect_layout,True,1,layout-overflow,0.75,TP,type-match+catalog-bug-id-match+target_keywords-match+section_keywords-match+anomaly_evidence_keywords-match+section-keyword-match+target-keyword-match+expected-elements-match+layout-check-match,
site003,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""element-19 element-19  "", ""clicked_name"": ""element-19"", ""clicked_bid"": ""19"", ""clicked_role"": ""generic"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9222/"", ""after_url"": ""http://localhost:9222/"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""19"", ""data_bug_id"": """", ""name"": ""element-19"", ""text"": ""element-19"", ""role"": ""generic"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site003-detection-0004
site005,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""element-119 element-119  "", ""clicked_name"": ""element-119"", ""clicked_bid"": ""119"", ""clicked_role"": ""generic"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9224/"", ""after_url"": ""http://localhost:9224/"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""119"", ""data_bug_id"": """", ""name"": ""element-119"", ""text"": ""element-119"", ""role"": ""generic"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site005-detection-0001
site006,site006-auto-01,layout-overlap,,,change_viewport_mobile;inspect_layout,True,1,layout-overlap,0.9,TP,type-match+action-hint-match+bbox-fallback,
site006,,,,,,True,1,button-no-response,0.68,FP_REVIEW,"{""clicked_text"": ""필터 적용 필터 적용  "", ""clicked_name"": ""필터 적용"", ""clicked_bid"": ""31"", ""clicked_role"": ""button"", ""clicked_tag"": """", ""openended_keyword_matches"": [], ""before_url"": ""http://localhost:9225/"", ""after_url"": ""http://localhost:9225/"", ""page_text_delta"": 0, ""candidate_delta"": 0, ""modal_opened"": false, ""form_opened"": false, ""route_changed"": false, ""cart_state_changed"": false, ""toast_visible"": false, ""target"": {""bid"": ""31"", ""data_bug_id"": """", ""name"": ""필터 적용"", ""text"": ""필터 적용"", ""role"": ""button"", ""tag"": """", ""clickable"": true, ""visible"": true, ""visibility"": 1.0, ""is_purchase_action"": false, ""is_workout_add_action"": false, ""is_chart_related"": false, ""catalog_keyword_matches"": [], ""catalog_selector_match"": false, ""catalog_bug_id_matches"": [], ""selector_hint"": """", ""is_interactive"": true, ""is_form_field"": false, ""openended_keyword_matches"": []}}",site006-detection-0002
site006,,,,,,True,1,layout-overlap,0.75,FP_REVIEW,"{""layout_overlap_count"": 52, ""viewport_width"": 375, ""viewport_height"": 812, ""viewport_type"": ""mobile"", ""mobile_viewport"": true, ""action_type"": ""click_element""}",site006-detection-0003
